Folio Muestra,Fecha,Municipio,Coliformes Fecales,Color,pH,Ion Fluoruro,Sólidos Disueltos Totales,Dureza Total (CaCO3),Cloro Libre Residual
000077,16 de enero de 2026,Tlaquepaque,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000078,16 de enero de 2026,Tlaquepaque,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000072,16 de enero de 2026,Zapopan,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma
000110,20 de enero de 2026,Zapopan,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000137,22 de enero de 2026,Zapopan,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000154,23 de enero de 2026,Zapopan,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000164,26 de enero de 2026,Guadalajara,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma
000165,26 de enero de 2026,Guadalajara,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000232,3 de febrero de 2026,Tonalá,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000267,5 de febrero de 2026,Zapopan,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000287,9 de febrero de 2026,Tonalá,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000288,9 de febrero de 2026,Tonalá,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000289,9 de febrero de 2026,Tonalá,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000290,9 de febrero de 2026,Tonalá,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000308,10 de febrero de 2026,Zapopan,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000335,11 de febrero de 2026,Zapopan,No Detectado,Dentro de Norma,Dentro de Norma,Fuera de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000354,12 de febrero de 2026,Zapopan,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000378,13 de febrero de 2026,Zapopan,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000394,16 de febrero de 2026,Zapopan,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000398,17 de febrero de 2026,Zapopan,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000492,25 de febrero de 2026,Zapopan,No Realizado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000610,5 de marzo de 2026,Guadalajara,No Detectado,Dentro de Norma,Dentro de Norma,Fuera de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000613,5 de marzo de 2026,Guadalajara,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000616,5 de marzo de 2026,Guadalajara,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000597,5 de marzo de 2026,Tlaquepaque,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000598,5 de marzo de 2026,Tlaquepaque,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000606,5 de marzo de 2026,Tlaquepaque,No Detectado,Dentro de Norma,Dentro de Norma,Fuera de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000607,5 de marzo de 2026,Tlaquepaque,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000622,6 de marzo de 2026,Zapopan,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000624,9 de marzo de 2026,Guadalajara,No Realizado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000641,10 de marzo de 2026,Tonalá,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma
000642,10 de marzo de 2026,Tonalá,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma
000643,10 de marzo de 2026,Tonalá,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000644,10 de marzo de 2026,Tonalá,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000706,12 de marzo de 2026,Tonalá,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma
000690,12 de marzo de 2026,Zapopan,No Realizado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
000736,13 de marzo de 2026,Guadalajara,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma
000737,13 de marzo de 2026,Guadalajara,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma
000723,13 de marzo de 2026,Tlaquepaque,No Realizado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma
000747,17 de marzo de 2026,Tonalá,No Detectado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma
000787,18 de marzo de 2026,Tonalá,No Detectado,No Realizado,No Realizado,No Realizado,No Realizado,No Realizado,No Realizado
000758,18 de marzo de 2026,Zapopan,No Realizado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma
000757,18 de marzo de 2026,Zapopan,No Realizado,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Dentro de Norma,Fuera de Norma
